timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-02 10:03:13.087133,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:03:18.567202,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:03:23.790153,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:03:29.086530,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:03:34.412631,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:03:39.777876,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:03:45.041606,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:03:50.296906,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:03:55.596182,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:04:00.837311,10:03,06-02-26,10.028,113569.0,115042.0,35.6,53.0,67.6,0.743,0.712,745.2
2026-06-02 10:04:06.242650,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:11.421669,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:16.793665,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:22.048554,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:27.369664,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:32.658040,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:38.074780,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:43.350262,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:48.650094,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:53.864354,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:04:59.274512,10:04,06-02-26,9.774,113555.0,115027.0,35.8,52.9,67.4,0.742,0.71,745.5
2026-06-02 10:05:04.514637,10:05,06-02-26,10.112,113553.0,115024.0,35.9,52.9,67.4,0.743,0.712,745.2
2026-06-02 10:05:09.829749,10:05,06-02-26,10.112,113553.0,115024.0,35.9,52.9,67.4,0.743,0.712,745.2
