timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-09 00:09:21.610879,00:09,06-09-26,8.609,115125.0,117802.0,31.6,52.9,67.1,0.758,0.721,751.6
2026-06-09 00:09:26.900960,00:09,06-09-26,8.193,115059.0,117546.0,31.7,52.8,67.3,0.743,0.708,751.7
2026-06-09 00:09:31.970223,00:09,06-09-26,7.978,116319.0,117694.0,31.6,52.8,67.2,0.757,0.723,751.8
2026-06-09 00:09:37.243332,00:09,06-09-26,8.125,116023.0,118387.0,31.8,52.8,67.0,0.743,0.715,751.2
2026-06-09 00:09:42.526399,00:09,06-09-26,9.035,115246.0,117744.0,31.4,52.7,67.4,0.76,0.722,751.1
2026-06-09 00:09:47.583662,00:09,06-09-26,8.474,116261.0,118068.0,31.5,53.0,67.3,0.743,0.716,751.7
2026-06-09 00:09:52.756160,00:09,06-09-26,8.67,115346.0,118312.0,31.5,52.8,67.3,0.745,0.713,752.0
2026-06-09 00:09:57.937120,00:09,06-09-26,9.055,115178.0,117749.0,31.5,52.6,67.1,0.751,0.721,752.4
2026-06-09 00:10:03.164513,00:10,06-09-26,8.719,115150.0,117896.0,31.7,52.7,67.3,0.746,0.715,751.8
2026-06-09 00:10:08.384482,00:10,06-09-26,9.155,115903.0,117742.0,31.4,52.7,67.3,0.75,0.714,751.5
2026-06-09 00:10:13.501061,00:10,06-09-26,9.413,115489.0,117926.0,31.9,53.4,67.5,0.746,0.71,752.2
2026-06-09 00:10:18.675846,00:10,06-09-26,9.148,115516.0,117467.0,31.7,52.8,67.6,0.748,0.718,751.8
2026-06-09 00:10:23.946789,00:10,06-09-26,9.134,115360.0,118090.0,31.5,52.8,67.8,0.751,0.721,751.8
2026-06-09 00:10:29.009526,00:10,06-09-26,9.566,115705.0,117819.0,31.4,53.3,67.1,0.756,0.712,751.7
2026-06-09 00:10:34.346404,00:10,06-09-26,9.455,115244.0,117860.0,31.6,52.9,67.0,0.747,0.715,752.0
2026-06-09 00:10:39.542536,00:10,06-09-26,9.235,115920.0,117490.0,31.8,52.5,67.2,0.75,0.719,751.8
2026-06-09 00:10:44.699154,00:10,06-09-26,9.413,115727.0,117486.0,31.8,52.8,66.9,0.741,0.725,752.0
2026-06-09 00:10:49.802928,00:10,06-09-26,9.061,115810.0,117524.0,31.7,53.0,67.3,0.748,0.723,751.5
2026-06-09 00:10:54.938046,00:10,06-09-26,9.961,115993.0,118041.0,31.7,53.3,67.4,0.754,0.71,752.2
2026-06-09 00:11:00.125360,00:10,06-09-26,9.874,115580.0,117904.0,31.4,52.6,67.0,0.75,0.717,752.0
2026-06-09 00:11:05.276489,00:11,06-09-26,9.721,115893.0,118165.0,31.9,52.7,67.0,0.752,0.713,751.3
2026-06-09 00:11:10.535460,00:11,06-09-26,9.289,115655.0,117705.0,31.6,52.7,67.1,0.749,0.716,752.1
2026-06-09 00:11:15.771740,00:11,06-09-26,9.228,115805.0,117754.0,31.6,52.7,67.3,0.752,0.71,751.8
2026-06-09 00:11:20.878772,00:11,06-09-26,9.368,115803.0,118086.0,31.5,52.4,67.0,0.756,0.716,751.5
2026-06-09 00:11:26.154936,00:11,06-09-26,9.916,116127.0,117773.0,31.6,53.2,67.3,0.756,0.718,751.3
2026-06-09 00:11:31.379724,00:11,06-09-26,9.074,115750.0,117957.0,31.7,52.9,67.0,0.749,0.716,751.8
2026-06-09 00:11:36.501235,00:11,06-09-26,9.164,115876.0,117799.0,31.7,52.9,67.3,0.747,0.716,751.6
2026-06-09 00:11:41.717860,00:11,06-09-26,9.743,115795.0,117605.0,31.4,53.1,67.5,0.755,0.718,751.5
2026-06-09 00:11:46.791810,00:11,06-09-26,9.741,115339.0,118100.0,31.5,52.6,67.6,0.756,0.721,752.1
2026-06-09 00:11:52.046515,00:11,06-09-26,9.507,115628.0,118078.0,31.8,52.9,67.4,0.752,0.711,751.9
2026-06-09 00:11:57.255779,00:11,06-09-26,9.361,115872.0,117271.0,31.6,52.6,67.6,0.762,0.72,751.9
2026-06-09 00:12:02.309994,00:12,06-09-26,9.189,115696.0,117957.0,31.8,52.8,67.4,0.755,0.722,751.3
2026-06-09 00:12:07.462273,00:12,06-09-26,9.312,116060.0,117655.0,31.4,52.5,67.1,0.751,0.719,751.8
2026-06-09 00:12:12.749688,00:12,06-09-26,9.127,115822.0,118128.0,31.3,53.0,67.3,0.754,0.712,751.5
2026-06-09 00:12:17.819989,00:12,06-09-26,8.845,115990.0,118366.0,31.7,52.5,67.4,0.754,0.72,751.5
2026-06-09 00:12:23.080526,00:12,06-09-26,9.306,115386.0,118160.0,31.6,53.0,67.1,0.75,0.72,751.2
2026-06-09 00:12:28.210786,00:12,06-09-26,9.844,115762.0,117831.0,31.7,52.7,67.3,0.753,0.715,751.9
2026-06-09 00:12:33.466036,00:12,06-09-26,9.427,115251.0,117845.0,31.8,52.7,67.4,0.759,0.714,751.4
2026-06-09 00:12:38.574541,00:12,06-09-26,9.405,115215.0,118051.0,31.7,53.2,67.2,0.75,0.713,752.3
2026-06-09 00:12:43.692224,00:12,06-09-26,9.492,115499.0,118061.0,31.6,53.0,67.7,0.758,0.712,751.9
2026-06-09 00:12:48.896586,00:12,06-09-26,9.269,115997.0,117647.0,31.5,52.8,67.0,0.749,0.722,751.9
2026-06-09 00:12:54.199085,00:12,06-09-26,9.664,116054.0,117933.0,31.6,52.6,67.1,0.749,0.717,752.0
2026-06-09 00:12:59.256516,00:12,06-09-26,9.052,115983.0,117736.0,31.5,52.6,67.5,0.756,0.719,751.8
2026-06-09 00:13:04.587958,00:13,06-09-26,9.091,115513.0,117689.0,31.5,52.8,66.8,0.753,0.712,752.1
