timestamp,heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
2026-06-02 00:10:28.977468,00:10,06-02-26,6.023,115508.0,117923.0,31.6,53.0,67.6,0.753,0.715,751.7
2026-06-02 00:10:34.225904,00:10,06-02-26,5.877,116020.0,117906.0,31.8,52.6,67.1,0.756,0.725,752.1
2026-06-02 00:10:39.382958,00:10,06-02-26,5.612,115326.0,117553.0,31.7,52.9,66.8,0.747,0.717,752.3
2026-06-02 00:10:44.513904,00:10,06-02-26,6.075,115361.0,118157.0,31.4,52.9,67.3,0.744,0.73,751.6
2026-06-02 00:10:50.275018,00:10,06-02-26,6.504,115919.0,117542.0,31.7,52.9,67.2,0.764,0.713,751.8
2026-06-02 00:10:55.528263,00:10,06-02-26,6.205,115828.0,117848.0,31.4,52.7,67.5,0.746,0.71,751.3
2026-06-02 00:11:00.635353,00:11,06-02-26,6.448,116482.0,118162.0,31.5,52.9,67.2,0.755,0.708,751.9
2026-06-02 00:11:05.891388,00:11,06-02-26,6.282,116294.0,117791.0,31.4,52.8,67.7,0.749,0.711,751.7
2026-06-02 00:11:16.043377,00:11,06-02-26,6.398,116512.0,118015.0,31.6,52.8,67.3,0.749,0.721,752.0
2026-06-02 00:11:21.289013,00:11,06-02-26,6.892,116003.0,117405.0,31.5,53.3,67.2,0.752,0.716,752.1
2026-06-02 00:11:26.442784,00:11,06-02-26,5.733,115710.0,118223.0,31.6,53.0,67.5,0.747,0.715,751.9
2026-06-02 00:11:31.569253,00:11,06-02-26,6.455,115629.0,117562.0,31.6,52.8,67.2,0.752,0.72,751.4
